UC ID/ Serial No.,PROVINCE,DISTRICT,TEHSIL,TEHSIL - CODE,UC NAME,UC_UR,UC Number,UC CODE,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,VILLAGE NUMBER,VILLAGE CODE,VILLAGE NAME
26450,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,ABBOTTABAD  CANTONMENT,Urban,1,131121,34.1601199,73.220304,1,1,1311211,ABBOTTABAD  CANTONMENT
26451,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,18,13111218,SERIAN
26452,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,17,13111217,NAROTA
26453,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,16,13111216,MUSLIM ABAD
26454,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,15,13111215,LAMBA BAGLA
26455,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,14,13111214,KUTLI BAGH
26456,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,13,13111213,KOHALIAN
26457,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,12,13111212,KHAKWALA
26458,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,11,13111211,KEHAL
26459,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,10,13111210,KATHIALA BAGH
26460,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,9,1311129,KARATI BAGH
26461,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,8,1311128,JUMMA BAGLA
26462,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,7,1311127,JATT MAIRA
26463,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,6,1311126,JAGGIAN KOHALIAN
26464,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,5,1311125,DHERI KEHAL
26465,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,4,1311124,DHERI
26466,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,3,1311123,BOKERAY
26467,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,2,1311122,BAGH
26468,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,1,1311121,BAGAR MAL
26469,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,12,13111312,TRAIDA
26470,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,11,13111311,SAIRI
26471,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,10,13111310,RAJPUT CHAMB
26472,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,9,1311139,PALAKKIAN
26473,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,8,1311138,MAIRA BANDI
26474,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,7,1311137,MAIRA
26475,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,6,1311136,GEYAH
26476,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,5,1311135,GALI BAGLA
26477,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,4,1311134,CHATTAR NATH THATHI
26478,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,3,1311133,CHAHAN
26479,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,2,1311132,BANDI
26480,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,1,1311131,BAGNOTAR
26481,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,11,13111411,TANNAN
26482,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,10,13111410,SIAN DA KATHA
26483,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,9,1311149,SAJIKOT
26484,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,8,1311148,MOR KALAN
26485,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,7,1311147,MAST MAIRA
26486,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,6,1311146,HALMAIRA
26487,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,5,1311145,HALL MAIRA ZARIN
26488,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,4,1311144,GOJJARI
26489,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,3,1311143,CHITTA MAIRA
